# Nr of Items 
50
# Nr of Knapsacks 
5
# Nr of Constraints 
2
# Items profits:
57 
36 
21 
24 
10 
57 
43 
48 
59 
42 
74 
59 
77 
50 
26 
8 
96 
60 
84 
4 
42 
2 
77 
62 
75 
31 
31 
11 
2 
45 
9 
88 
60 
1 
11 
5 
62 
57 
45 
75 
63 
78 
30 
86 
37 
67 
30 
77 
69 
41 

# Items weights:
92 40 
61 41 
13 80 
98 35 
58 6 
81 33 
21 28 
92 93 
25 78 
26 2 
19 59 
33 100 
8 79 
20 82 
33 54 
85 95 
41 22 
19 62 
5 44 
38 6 
86 73 
78 33 
50 99 
28 51 
96 25 
79 15 
43 34 
63 40 
24 98 
72 26 
34 87 
95 65 
47 53 
71 82 
43 37 
92 34 
89 63 
87 67 
39 47 
28 70 
20 9 
56 20 
93 39 
39 5 
3 60 
85 88 
89 58 
53 36 
62 32 
9 45 
# Knapsacks:
266 236 
261 247 
214 214 
252 301 
814 766 
