# Nr of Items 
50
# Nr of Knapsacks 
5
# Nr of Constraints 
2
# Items profits:
449 
23 
520 
311 
788 
243 
319 
999 
652 
426 
907 
935 
597 
88 
514 
722 
558 
399 
447 
923 
261 
161 
14 
143 
978 
256 
230 
89 
581 
132 
41 
530 
35 
896 
175 
786 
354 
81 
193 
327 
70 
924 
379 
304 
228 
403 
961 
301 
531 
300 

# Items weights:
481 964 
106 633 
795 386 
694 872 
341 36 
356 187 
773 890 
457 786 
516 52 
68 398 
697 489 
209 607 
165 488 
913 189 
317 968 
531 270 
86 7 
22 105 
349 631 
735 117 
732 129 
158 960 
396 752 
473 570 
438 498 
394 570 
292 236 
160 648 
304 737 
104 319 
519 965 
729 622 
412 223 
657 909 
374 529 
527 154 
868 727 
270 711 
773 687 
769 941 
698 982 
55 208 
17 704 
896 328 
465 639 
209 188 
170 468 
331 636 
621 606 
3 192 
# Knapsacks:
1146 1135 
1310 1099 
1176 1722 
996 1428 
5039 6159 
